"证券代码
Securities Code","证券名称
Securities Name","证券英文名称
Securities Name(Eng.)","交易所
Exchange","中证一级代码
CICS 1st Level Code","中证一级名称
CICS 1st Level Name","中证一级英文名称
CICS 1st Level Name(Eng.)","中证二级代码
CICS 2nd Level Code","中证二级名称
CICS 2nd Level Name","中证二级英文名称
CICS 2nd Level Name(Eng.)","中证三级代码
CICS 3rd Level Code","中证三级名称
CICS 3rd Level Name","中证三级英文名称
CICS 3rd Level Name(Eng.)","中证四级代码
CICS 4th Level Code","中证四级名称
CICS 4th Level Name","中证四级英文名称
CICS 4th Level Name(Eng.)","沪深300行业指数
CSI300 Sector Index","沪深300行业指数英文名称
CSI300 Sector Index Name (Eng.)"
000561,烽火电子,Shaanxi Fenghuo Electronics Co Ltd,Shenzhen,08,电信业务,Telecommunication Services,0802,通信设备,Communications Equipment,080201,通信设备,Communications Equipment,08020101,通信终端设备,Communication Terminal Equipment,,
000563,陕国投Ａ,"Shaanxi International Trust Co.,Ltd",Shenzhen,06,金融地产,Financials,0602,其他金融,Other Financials,060201,其他金融服务,Other Financial Services,06020101,其它综合性金融服务, Other Diversified Financial Services,,
000564,供销大集,"CCOOP GROUP CO., LTD",Shenzhen,03,可选消费,Consumer Discretionary,0305,零售业,Retailing,030503,多元化零售,Multiline Retail,03050301,百货商店,Department Stores,,
000565,渝三峡Ａ,Chongqing Sanxia Paints Co Ltd,Shenzhen,01,原材料,Materials,0101,原材料,Materials,010102,化学制品,Chemicals,01010201,涂料涂漆,Paint,,
000566,海南海药,Hainan Haiyao Co Ltd,Shenzhen,05,医药卫生,Health Care,0502,医药生物,Medical Biology,050202,制药,Pharmaceuticals,05020201,化学药,Chemical Medicine,,
000567,海德股份,Hainan Haide Industrial Co Ltd,Shenzhen,06,金融地产,Financials,0603,资本市场,Capital Markets,060301,资本市场,Capital Markets,06030101,资产管理与托管银行,Asset Management & Custody Banks,,
000568,泸州老窖,Luzhou Lao Jiao Co Ltd,Shenzhen,04,主要消费,Consumer Staples,0402,食品、饮料与烟草,"Food, Beverage & Tobacco",040201,饮料,Beverages,04020101,白酒,White Liquor,300消费,CSI 300 Cons Staples
000570,苏常柴Ａ,Changchai Co Ltd,Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020106,机械制造,Machinery,02010601,通用机械,General Machinery,,
000571,*ST大洲,Sundiro Holding Co Ltd,Shenzhen,00,能源,Energy,0001,能源,Energy,000103,煤炭,Coal,00010301,煤炭,Coal,,
000572,*ST海马,"Haima Automobile Co.,Ltd.",Shenzhen,03,可选消费,Consumer Discretionary,0301,汽车与汽车零部件,Automobiles & Components,030102,汽车与摩托车,Automobiles & Motorcycles,03010201,汽车,Automobile,,
000573,粤宏远Ａ,Dongguan Winnerway Industrial Zone Ltd,Shenzhen,06,金融地产,Financials,0605,房地产,Real Estate,060501,房地产开发与园区,Real Estate  Development and Zone,06050101,房地产开发,Real Estate  Development,,
000576,广东甘化,"Jiangmen Sugarcane Chemical Factory (Group) Co.,Ltd",Shenzhen,01,原材料,Materials,0101,原材料,Materials,010108,纸类与林业产品,Paper & Forest Products,01010802,纸制品,Paper Products,,
000581,威孚高科,Weifu High-Technology Group Co Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0301,汽车与汽车零部件,Automobiles & Components,030101,汽车零配件与轮胎,uto Parts & Tires,03010101,汽车零配件,Auto Parts ,,
000582,北部湾港,"Beibuwan Port Co.,Ltd.",Shenzhen,02,工业,Industrials,0203,交通运输,Transportation,020305,交通基本设施,Transportation Infrastructure,02030504,港口,Marine Ports ,,
000584,哈工智能,"JIANGSU HAGONG INTELLIGENT ROBOT CO.,LTD",Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020106,机械制造,Machinery,02010607,其他机械设备,Other Machinery,,
000585,ST东电,Northeast Electric Development Co Ltd,Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020104,电气设备,Electrical Equipment,02010401,电气部件与设备,Electrical Components & Equipment,,
000586,汇源通信,Sichuan Huiyuan Optical Communications Co Ltd,Shenzhen,08,电信业务,Telecommunication Services,0802,通信设备,Communications Equipment,080201,通信设备,Communications Equipment,08020102,通信传输设备,Communication Transmission Equipment,,
000587,金洲慈航,"JINZHOU CIHANG GROUP CO., LTD",Shenzhen,03,可选消费,Consumer Discretionary,0302,耐用消费品与服装,Consumer Durables & Apparel,030204,珠宝与奢侈品,Jewellery & Luxury Goods,03020401,珠宝与奢侈品,Jewellery & Luxury Goods,,
000589,贵州轮胎,Gui Zhou Tyre Co Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0301,汽车与汽车零部件,Automobiles & Components,030101,汽车零配件与轮胎,uto Parts & Tires,03010102,轮胎,Tires,,
000590,启迪古汉,"TUS-GUHAN GROUP CORP., LTD.",Shenzhen,05,医药卫生,Health Care,0502,医药生物,Medical Biology,050202,制药,Pharmaceuticals,05020202,中药,Traditional Chinese Medicine,,
000591,太阳能,"CECEP Solar Energy Co.,Ltd.",Shenzhen,09,公用事业,Utilities,0901,公用事业,Utilities,090101,电力,Power,09010104,新能源发电,New Energy Power,,
000592,平潭发展,ZHONGFU STRAITS (PINGTAN) DEVELOPMENT COMPANY LIMITED,Shenzhen,01,原材料,Materials,0101,原材料,Materials,010108,纸类与林业产品,Paper & Forest Products,01010801,林业产品,Forest Products,,
000593,大通燃气,"Sichuan Datong Gas Development Co., Ltd.",Shenzhen,09,公用事业,Utilities,0901,公用事业,Utilities,090102,燃气,Gas,09010201,燃气,Gas,,
000595,宝塔实业,"BAOTA INDUSTRY CO., LTD.",Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020106,机械制造,Machinery,02010601,通用机械,General Machinery,,
000596,古井贡酒,Anhui Gujing Distillery Co Ltd,Shenzhen,04,主要消费,Consumer Staples,0402,食品、饮料与烟草,"Food, Beverage & Tobacco",040201,饮料,Beverages,04020101,白酒,White Liquor,300消费,CSI 300 Cons Staples
000597,东北制药,Northeast Pharmaceutical Group Co Ltd,Shenzhen,05,医药卫生,Health Care,0502,医药生物,Medical Biology,050202,制药,Pharmaceuticals,05020201,化学药,Chemical Medicine,,
000598,兴蓉环境,"Chengdu Xingrong Environment Co., Ltd.",Shenzhen,09,公用事业,Utilities,0901,公用事业,Utilities,090104,水务,Water,09010401,水务,Water,,
000599,青岛双星,Qingdao Doublestar Co Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0301,汽车与汽车零部件,Automobiles & Components,030101,汽车零配件与轮胎,uto Parts & Tires,03010102,轮胎,Tires,,
000600,建投能源,Hebei Jointo Energy Investment Co Ltd,Shenzhen,09,公用事业,Utilities,0901,公用事业,Utilities,090101,电力,Power,09010101,火电,Thermal Power,,
000601,韶能股份,Guangdong Shaoneng Group Co Ltd,Shenzhen,09,公用事业,Utilities,0901,公用事业,Utilities,090101,电力,Power,09010102,水电,Hydropower,,
000603,盛达资源,"Shengda Resources Co.,Ltd.",Shenzhen,01,原材料,Materials,0101,原材料,Materials,010105,有色金属,Non-ferrous Metal,01010505,其它有色金属及合金,Other Non-ferrous Metal ,,
000605,渤海股份,"Bohai Water Industry Co., Ltd.",Shenzhen,09,公用事业,Utilities,0901,公用事业,Utilities,090104,水务,Water,09010401,水务,Water,,
000606,顺利办,"Shunliban Information Service Co.,Ltd",Shenzhen,07,信息技术,Information Technology,0701,计算机运用,Computer Application,070101,互联网服务,Internet Services,07010101,互联网信息服务,Internet Information Services,,
000607,华媒控股,"Zhejiang Huamei Holding CO., LTD.",Shenzhen,03,可选消费,Consumer Discretionary,0304,传媒,Media,030401,传媒,Media,03040101,营销与广告,Marketing & Advertising,,
000608,阳光股份,Yangguang Co Ltd,Shenzhen,06,金融地产,Financials,0605,房地产,Real Estate,060502,房地产管理与服务,Real Estate Management & Services,06050201,房地产管理与服务,Real Estate Management & Services,,
000609,中迪投资,"Beijing Zodi Investment Co., Ltd.",Shenzhen,06,金融地产,Financials,0605,房地产,Real Estate,060501,房地产开发与园区,Real Estate  Development and Zone,06050101,房地产开发,Real Estate  Development,,
000610,西安旅游,Xi'an Tourism Co Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0303,消费者服务,Consumer Services,030301,酒店、餐馆与休闲,"Hotels, Restaurants & Leisure",03030106,旅行社,Travel Agencies,,
000611,*ST天首,"Inner Mongolia TianShou Technology&development, CO., LTD.",Shenzhen,03,可选消费,Consumer Discretionary,0302,耐用消费品与服装,Consumer Durables & Apparel,030203,纺织服装,Textiles & Apparel,03020303,纺织品,Textiles,,
000612,焦作万方,Jiaozuo Wanfang Aluminium Manufacturing Co Ltd,Shenzhen,01,原材料,Materials,0101,原材料,Materials,010105,有色金属,Non-ferrous Metal,01010501,铝,Aluminum,,
000613,大东海A,Hainan Dadonghai Tourism Centre (Holdings) Co Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0303,消费者服务,Consumer Services,030301,酒店、餐馆与休闲,"Hotels, Restaurants & Leisure",03030102,酒店,Hotels,,
000615,京汉股份,"KINGHAND INDUSTRIAL INVESTMENT CO.,LTD.",Shenzhen,06,金融地产,Financials,0605,房地产,Real Estate,060501,房地产开发与园区,Real Estate  Development and Zone,06050101,房地产开发,Real Estate  Development,,
000616,海航投资,"HNA INVESTMENT GROUP CO.,LTD.",Shenzhen,06,金融地产,Financials,0605,房地产,Real Estate,060501,房地产开发与园区,Real Estate  Development and Zone,06050101,房地产开发,Real Estate  Development,,
000617,中油资本,CNPC Capital Company Limited,Shenzhen,06,金融地产,Financials,0602,其他金融,Other Financials,060201,其他金融服务,Other Financial Services,06020101,其它综合性金融服务, Other Diversified Financial Services,,
000619,海螺型材,Wuhu Conch Profiles and Science Co Ltd,Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020102,建筑产品,Building Products,02010201,建筑产品,Building Products,,
000620,新华联,"MACROLINK CULTURALTAINMENT DEVELOPMENT CO., LTD.",Shenzhen,06,金融地产,Financials,0605,房地产,Real Estate,060501,房地产开发与园区,Real Estate  Development and Zone,06050101,房地产开发,Real Estate  Development,,
000622,恒立实业,"HENGLI INDUSTRIAL DEVELOPMENT GROUP CO., LTD",Shenzhen,03,可选消费,Consumer Discretionary,0301,汽车与汽车零部件,Automobiles & Components,030101,汽车零配件与轮胎,uto Parts & Tires,03010101,汽车零配件,Auto Parts ,,
000623,吉林敖东,"Jilin Aodong Pharmaceutical Group Co., Ltd.",Shenzhen,05,医药卫生,Health Care,0502,医药生物,Medical Biology,050202,制药,Pharmaceuticals,05020202,中药,Traditional Chinese Medicine,,
000625,长安汽车,Chongqing Changan Automobile Co Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0301,汽车与汽车零部件,Automobiles & Components,030102,汽车与摩托车,Automobiles & Motorcycles,03010201,汽车,Automobile,300可选,CSI 300 Cons Disc
000626,远大控股,"Grand Industrial Holding Co., Ltd",Shenzhen,02,工业,Industrials,0202,商业服务与用品,Commercial Services & Supplies,020201,商业服务与用品,Commercial Services & Supplies,02020104,工业品贸易商,Industrial Products Traders,,
000627,天茂集团,Hubei Biocause Pharmaceutical Co Ltd,Shenzhen,06,金融地产,Financials,0604,保险,Insurance,060401,保险,Insurance,06040101,人寿与健康保险,Life & Health Insurance,300金融,CSI 300 Financials
000628,高新发展,Chengdu Hi-tech Development Co Ltd,Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020103,建筑与工程,Construction & Engineering,02010301,土木工程,Civil Engineering,,
